MUNICIPIO,CODIGO_IBGE,Gentílico [-],Prefeito [2025],Área Territorial - km² [2024],População no último censo - pessoas [2022],Densidade demográfica - hab/km² [2022],POPULACAO_2024,Escolarização  6 a 14 anos- % [2010],IDHM Índice de desenvolvimento humano municipal [2010],Mortalidade infantil - óbitos por mil nascidos vivos [2022],Total de receitas brutas realizadas - R$ [2022],Total de despesas brutas empenhadas - R$ [2022],PIB per capita - R$ [2021],UTI_TOTAL_EXIST,UTI_TOTAL_SUS,LEITOS_UTI_POR_10000_HAB
ABAIRA,2900108,abairense,WELLINGTON BARBOSA SILVA,538.677,7301,13.55,7452,97.2,0.603,18.52,32237641.59,35111367.37,8086.04,0,0,0.0
ABARE,2900207,abareense,EMANOEL MESCIAS MENEZES DE ANDRADE,1604.923,17639,10.99,18240,96.5,0.575,7.17,87563602.75,79977884.76,10127.1,0,0,0.0
ACAJUTIBA,2900306,acajutibense,JADIEL SOUZA JESUS,181.475,13795,76.02,14215,98,0.582,12.82,83405745.46,79390929.67,9499.76,0,0,0.0
ADUSTINA,2900355,adustinense,JOTA JUNIOR GONÇALVES,629.1,14201,22.57,14554,98.1,0.546,20.55,78434504.29,73643969.42,13986.28,0,0,0.0
AGUA FRIA,2900405,água-friense,RENAN ARAUJO BARROS,742.775,14497,19.52,14871,97,0.55,13.79,73397340.01,88594859.92,9269.33,0,0,0.0
ERICO CARDOSO,2900504,érico-cardosense,ERALDO FÉLIX DA SILVA,735.249,10604,14.42,10948,98.8,0.584,16.95,53133336.7,50328616.35,7425.41,0,0,0.0
AIQUARA,2900603,aiquarense,VALERIA RIBEIRO SANTOS,167.877,4447,26.49,4586,98.4,0.583,,45623931.03,43534669.81,12244.83,0,0,0.0
ALAGOINHAS,2900702,alagoinhense,GUSTAVO AUGUSTO DE SOUZA CARMO,707.836,151055,213.4,160662,97.4,0.683,12.79,664260801.24,631717683.9,29621.32,96,60,5.98
ALCOBACA,2900801,alcobacense,GIVALDO MUNIZ,1477.929,24530,16.6,25494,96.5,0.608,15.38,135266438.23,142880890,15437.27,0,0,0.0
ALMADINA,2900900,almadinense,MARCOS MARCIEL PINHEIRO DE JESUS,245.236,5218,21.28,5327,95.3,0.563,23.26,32229647.81,29587006.69,11924.08,0,0,0.0
AMARGOSA,2901007,amargosense,GETÚLIO ALMEIDA SAMPAIO,431.655,36521,84.61,38478,96.8,0.625,16.13,190276474.67,168053576.8,12327.08,0,0,0.0
AMELIA RODRIGUES,2901106,ameliense,JOÃO MANOEL BAHIA MENEZES,166.872,24138,144.65,24848,99.2,0.666,6.1,108377590.27,102966520.8,17505.45,0,0,0.0
AMERICA DOURADA,2901155,américo-douradense,JOELSON CARDOSO DO ROSARIO,822.373,15137,18.41,15583,96.6,0.561,,79102581.84,78796917.45,10440.54,0,0,0.0
ANAGE,2901205,anageense,ROGERIO BONFIM SOARES,1899.683,25438,13.39,26715,96,0.54,15.54,86891843.4,88578085.1,10592.91,0,0,0.0
ANDARAI,2901304,andaraiense,WILSON PAES CARDOSO,1589.786,13080,8.22,13531,97.8,0.555,6.58,74092334.41,69360658.94,10254.35,0,0,0.0
ANDORINHA,2901353,andorinhense,ADILBERTO EVANGELISTA DE SOUZA,1362.386,15012,11.02,15485,98,0.588,11.98,108057843.61,101142338.3,15500.25,0,0,0.0
ANGICAL,2901403,angicalense,MONICA MARIA RODRIGUES DAS CHAGAS DIAS,1530.645,13732,8.97,14178,96.9,0.625,37.23,66509756.58,61752720.45,13699.3,0,0,0.0
ANGUERA,2901502,anguerense,MAURO SELMO OLIVEIRA VIEIRA,187.84,11031,58.73,11456,98.2,0.589,,58873240.51,53339705.23,6927.47,0,0,0.0
ANTAS,2901601,antense,ESSIONEIDE PIMENTEL DA SILVA MATOS,326.36,14206,44.43,15061,94.3,0.592,7.3,96411774.67,86953768.11,8179.38,0,0,0.0
ANTONIO CARDOSO,2901700,cardosense,JOCIVALDO BISPO DA CONCEIÇÃO DOS ANJOS,293.53,11146,37.97,11501,95.8,0.561,17.86,54328608.34,51157756.39,10644.2,0,0,0.0
ANTONIO GONCALVES,2901809,antônio-gonçalvense,DJALMA DE FREITAS CARDOSO NETO,345.284,10862,31.46,11236,98.4,0.598,20.83,60949081.57,53828781.31,6917.74,0,0,0.0
APORA,2901908,aporense,CARINE DANTAS DE MENEZES,479.262,15922,33.22,16379,97.6,0.548,11.3,79635652.5,77698758,8332.08,0,0,0.0
APUAREMA,2901957,apuaremense,ROBERTO SANTOS AMORIM,150.83,6913,45.83,7114,95.9,0.552,27.78,37849353.32,38785003.17,10214.51,0,0,0.0
ARACATU,2902005,aracatuense,BRAULINA LIMA SILVA,1489.803,13936,9.35,14422,97.7,0.581,17.54,70530574.93,66381596.36,11245.32,0,0,0.0
ARACAS,2902054,araçaense,AGAMENON OLIVEIRA COELHO,474.577,11557,24.35,11946,98.1,0.57,34.48,80586573.78,83479592.61,24447.56,0,0,0.0
ARACI,2902104,araciense,MARIA BETIVANIA LIMA DA SILVA,1496.245,48294,32.28,50336,97.4,0.534,15.53,253502295.71,252315817.7,8950.31,0,0,0.0
ARAMARI,2902203,aramariense,ANTONIO LUIZ CARDOSO DANTAS,368.947,9833,26.65,10122,96.3,0.588,11.36,51526836.06,46634677.09,9008.7,0,0,0.0
ARATACA,2902252,arataquense,FERNANDO MANSUR GONZAGA,435.962,10191,23.38,10463,95.6,0.559,12.99,61145526.8,60057926.34,9308.59,0,0,0.0
ARATUIPE,2902302,aratuipense,ANTONIO MARCOS ARAUJO DE SOUZA,174.012,8677,49.86,8981,98.4,0.575,9.01,47294402.32,42888776.84,9038.92,0,0,0.0
AURELINO LEAL,2902401,aurelinense,RODRIGO CALAZANS DE ANDRADE,445.394,11179,25.1,11409,95.5,0.568,56.5,70869725.32,71726699.35,12365.87,0,0,0.0
BAIANOPOLIS,2902500,baianopolense,WEUBE FEBRONIO DOS SANTOS,3321.755,13614,4.1,14110,98.7,0.589,12.66,79980048.36,73582237.51,18872.77,0,0,0.0
BAIXA GRANDE,2902609,baixa-grandense,ADROALDO DOS SANTOS RIBEIRO,967.514,18220,18.83,18680,97.2,0.585,13.7,82668628.92,78137190.3,9527.52,0,0,0.0
BANZAE,2902658,banzaêense,PATRÍCIA NASCIMENTO ALMEIDA,409.507,11958,29.2,12309,98.1,0.579,8.4,93084901.05,83179972.5,8572.74,0,0,0.0
BARRA,2902708,barrense,ROMEU BATISTA PINTO JUNIOR,11428.112,51092,4.47,53528,97,0.557,23.31,190704876.3,198848474.7,7941.89,30,30,5.6
BARRA DA ESTIVA,2902807,barrestivense,UILSON ROBSON SILVA ALVES,1657.413,26026,15.7,27582,96.8,0.575,5.57,102037728.35,93872997.06,18698.56,0,0,0.0
BARRA DO CHOCA,2902906,barra-chocense,OBERDAM ROCHA DIAS,765.936,36539,47.71,38481,96.9,0.551,20.18,163664432.65,149980554.6,18602.26,0,0,0.0
BARRA DO MENDES,2903003,barra-mendense,MANOEL GABRIEL DOS SANTOS,1436.299,13836,9.63,14345,97.5,0.63,5.88,57221921.89,60683464.74,8829.23,0,0,0.0
BARRA DO ROCHA,2903102,barra-rochense,JOSE LUIZ FRANCO RAMOS COSTA,214.411,5775,26.93,5920,95.7,0.577,,52572707.45,50367801.85,14125.28,0,0,0.0
BARREIRAS,2903201,barreirense,OTONIEL NASCIMENTO TEIXEIRA,8059.305,159734,19.84,170667,97.5,0.721,12.95,897856861.63,841847092.6,44221.63,234,102,13.71
BARRO ALTO,2903235,barro-altino,EVILAZIO JOAQUIM DE OLIVEIRA,414.51,13453,32.46,13911,98.4,0.607,7.09,57975035.53,53036228.28,7440.78,0,0,0.0
BARROCAS,2903276,barroquense,JOSE ALMIR ARAUJO QUEIROZ,207.297,15203,73.34,15743,98.7,0.61,30.15,92697750.63,85830026.64,21334.14,0,0,0.0
BARRO PRETO,2903300,barro-pretense,JURACI DIAS DE JESUS,201.585,5833,28.94,5966,96.2,0.602,34.48,48592594.66,45986007.78,15044.1,0,0,0.0
BELMONTE,2903409,belmontense,IEDO JOSE MENEZES ELIAS,1920.642,20121,10.37,20567,96.5,0.598,13.22,99326272.03,93923801.28,15875.7,0,0,0.0
BELO CAMPO,2903508,belo-campense,FIDELIS PEREIRA REIS,772.756,18412,23.83,19042,95.2,0.575,12.35,94007044.42,100366960.7,9968.92,0,0,0.0
BIRITINGA,2903607,biritinguense,GILMÁRIO SOUZA DE OLIVEIRA,553.762,15146,27.35,15606,98,0.538,22.35,101053376.72,93560021.52,9096.16,0,0,0.0
BOA NOVA,2903706,boa-novense,LUCAS SANTOS MEIRA,848.857,13690,16.13,14052,97.2,0.567,7.19,64676862.84,57878621.13,9270.48,0,0,0.0
BOA VISTA DO TUPIM,2903805,tupinense,SAVIO BULCAO DOS SANTOS,2972.109,16873,5.68,17307,96.8,0.551,5.38,83459655.03,77651502.51,8399.59,0,0,0.0
BOM JESUS DA LAPA,2903904,lapense,EURES RIBEIRO PEREIRA,4114.491,65550,15.93,68704,95.7,0.633,13.44,309215945.22,304959101.9,19356.52,60,30,8.73
BOM JESUS DA SERRA,2903953,bom-jesuense,WELTON SILVA ANDRADE,467.909,9730,20.79,10028,98.3,0.546,,43754276.35,46791662.37,7162.09,0,0,0.0
BONINAL,2904001,boninalense,CELESTE AUGUSTA ARAUJO PAIVA,896.857,13622,15.19,14104,96.3,0.612,43.48,65602591.09,57850833.94,8127.31,0,0,0.0
BONITO,2904050,bonitense,EDIVAM JOSE CEDRO DE SOUZA,791.276,15844,20.02,16393,97.6,0.561,13.95,92308969.34,84848138.89,15926.9,0,0,0.0
BOQUIRA,2904100,boquirense,ALAN MACHADO FRANÇA,1426.233,19322,13.55,19829,98.8,0.603,13.57,85175016.21,84698668.52,8800.66,0,0,0.0
BOTUPORA,2904209,botuporãense,EDIMILSON ANTONIO SARAIVA,627.612,11024,17.56,11411,98.1,0.575,7.81,57729344.19,56663805.69,10949.08,0,0,0.0
BREJOES,2904308,brejoense,RICARDO CASTRO CERQUEIRA,518.566,12943,24.96,13272,97.9,0.597,30.53,70153287.58,66129680.52,10196.49,0,0,0.0
BREJOLANDIA,2904407,brejolandense,EDEZIO NUNES BASTOS,2247.208,9108,4.05,9377,98.4,0.592,22.22,49363601.79,44935024.38,11827.72,0,0,0.0
BROTAS DE MACAUBAS,2904506,brotense,ANTONIO KLEBER RIBEIRO,2520.817,11765,4.67,12169,97.6,0.57,9.17,61124813.39,57824627.77,9019.03,0,0,0.0
BRUMADO,2904605,brumadense,FABRICIO ABRANTES PIRES DE SOUZA OLIVEIRA,2207.612,70510,31.94,74095,96.8,0.656,7.84,326221018.66,338979262.5,26432.55,60,30,8.1
BUERAREMA,2904704,bueraremense,GERIVALDO SOUZA FREITAS,219.487,14804,67.45,15056,91.5,0.613,14.93,69987669.82,68702369.31,11436.46,0,0,0.0
BURITIRAMA,2904753,buritiramense,LÉO MIRANDA SÃO MATEUS,4046.736,19589,4.84,20212,97.3,0.565,14.93,89655424.59,85651247.43,7251.29,0,0,0.0
CAATIBA,2904803,caatibense,HUMBERTO DE ALMEIDA ANTUNES,512.436,6205,12.11,6224,89.9,0.561,,41847529.14,39130554.8,12419.86,0,0,0.0
CABACEIRAS DO PARAGUACU,2904852,cabaceirense,PEDRO ANDRÉ BRAZ SILVA SANTANA,222.027,16559,74.58,17039,98.8,0.581,13.95,90183029.52,86371036.58,7427.62,0,0,0.0
CACHOEIRA,2904902,cachoeirano,ELIANA GONZAGA DE JESUS,394.894,29250,74.07,30550,97.8,0.647,9.06,122870366.9,114258034.2,14239.25,30,30,9.82
CACULE,2905008,caculense,PEDRO DIAS DA SILVA,610.983,22462,36.76,23246,97.3,0.637,14.44,105392294.26,97054261.27,15563.12,0,0,0.0
CAEM,2905107,caenense,ARNALDO DE OLIVEIRA FILHO,540.908,10384,19.2,10729,98.8,0.546,9.52,61221442.98,56433198.16,10356.18,0,0,0.0
CAETANOS,2905156,caetanense,EDAS JUSTINO DOS SANTOS,767.146,11266,14.69,11500,96.9,0.542,8.26,59499260.16,55896629.04,6991.41,0,0,0.0
CAETITE,2905206,caetiteense,VALTÉCIO NEVES AGUIAR,2651.536,52012,19.62,54572,98.3,0.625,17.35,215422456.1,207378662.3,21464.71,60,60,10.99
CAFARNAUM,2905305,cafarnauense,CARLAN NOVAIS SENA XAVIER,643.66,17466,27.14,18039,98.6,0.584,7.38,92893458.38,85903499.3,11697.42,0,0,0.0
CAIRU,2905404,cairuense,HILDÉCIO ANTÔNIO MEIRELES FILHO,448.846,17761,39.57,18486,98.8,0.627,14.55,147007765.46,140897258.9,80656.9,0,0,0.0
CALDEIRAO GRANDE,2905503,caldeirão-grandense,PEDRO HENRIQUE ARAUJO BEZERRA,458.312,13080,28.54,13566,97.8,0.573,29.85,78135316.82,72636216.37,7581.19,0,0,0.0
CAMACAN,2905602,camacaense,PAULO CESAR BOMFIM DE OLIVEIRA,584.848,22579,38.61,22756,92.5,0.581,18.87,122789114.88,113213988.8,11067.74,0,0,0.0
CAMACARI,2905701,camaçariense,LUIZ CARLOS CAETANO,785.421,300372,382.43,319394,96.7,0.694,14.55,2270716271.54,2093704002,109866.84,117,24,3.66
CAMAMU,2905800,camamuense,JAIRO PEREIRA CRUZ,839.702,30469,36.29,31775,96,0.565,24.79,134742949.58,125990690.3,13215.31,0,0,0.0
CAMPO ALEGRE DE LOURDES,2905909,campo-alegrense,TADEU DIAS DOS SANTOS,2914.575,30671,10.52,32377,98.3,0.557,16.95,147877399.32,155216467.5,10246.22,0,0,0.0
CAMPO FORMOSO,2906006,campo-formosense,ELMO ALUIZIO VIEIRA NASCIMENTO,7161.827,71377,9.97,74894,98,0.586,16.35,421739339.6,381998346.6,28885.32,36,30,4.81
CANAPOLIS,2906105,canapolense,REGINALDO DE SOUZA PEREIRA,460.388,10225,22.21,10612,96.9,0.565,15.75,45952175.51,43972560.81,8764.22,0,0,0.0
CANARANA,2906204,canaraense,MARLEIDE BARBOSA DE OLIVEIRA,579.726,24206,41.75,24989,98.9,0.587,24.39,118990817.04,106457997.7,9778.68,0,0,0.0
CANAVIEIRAS,2906303,canavieirense,PAULO CEZAR RAMOS CARVALHO,1334.284,32683,24.49,34343,94.9,0.59,7.98,123085418.58,117692044.6,12876.82,0,0,0.0
CANDEAL,2906402,candealense,RENATO PEREIRA LIMA JUNIOR,447.578,7772,17.36,7969,98.2,0.587,21.51,34829067.28,33029345.48,8360.25,0,0,0.0
CANDEIAS,2906501,candeense,ERITON DOS SANTOS RAMOS,251.808,72382,287.45,75083,97.6,0.691,18.65,629703381.39,661141033.8,77650.5,60,45,7.99
CANDIBA,2906600,candibense,REGINALDO MARTINS PRADO,433.642,13016,30.02,13425,98.3,0.591,,59531011.69,57776384.74,9769.54,0,0,0.0
CANDIDO SALES,2906709,cândido-salense,MAURÍLIO LEMOS DAS VIRGENS,1169.814,25247,21.58,26465,96.2,0.601,9.87,102701787.36,99114083.81,9819.28,0,0,0.0
CANSANCAO,2906808,cansançãoense,VILMA ROSA DE OLIVEIRA GOMES,1351.891,37439,27.69,39556,98.6,0.557,11.11,229983896.29,225166419.6,10100.52,0,0,0.0
CANUDOS,2906824,canudense,JILSON CARDOSO DE MACEDO,3565.377,16105,4.52,16662,98.6,0.562,33.9,92895404.8,84381205.49,9098.77,0,0,0.0
CAPELA DO ALTO ALEGRE,2906857,capelense,LUIS ROMEU OLIVEIRA MASCARENHAS,629.586,10744,17.07,11055,98.6,0.599,9.09,67156745.42,57197009.21,11169.61,0,0,0.0
CAPIM GROSSO,2906873,capim-grossense,JOSÉ SIVALDO RIOS DE CARVALHO,464.776,33235,71.51,35228,96.2,0.621,7.18,139824667.59,134041367.5,18670.35,0,0,0.0
CARAIBAS,2906899,caraibense,RENATO LIMA DOS SANTOS,805.629,9940,12.34,10260,97.3,0.555,10.75,42673197.15,39656831.39,9955.16,0,0,0.0
CARAVELAS,2906907,caravelense,ADAUTO RONALDO AZEVEDO DA COSTA,2377.889,20580,8.65,21229,95.4,0.616,7.94,129500640.75,119052054.2,16145.53,0,0,0.0
CARDEAL DA SILVA,2907004,cardinalense,ANTONIO AUGUSTO SALES DE JESUS,293.456,8365,28.51,8634,98.1,0.552,17.86,62080706.93,62238489.76,12530.82,0,0,0.0
CARINHANHA,2907103,carinhanhense,FRANCISCA ALVES RIBEIRO,2525.512,28869,11.43,30375,98.8,0.576,23.36,160250153.87,118349916.5,9910.07,0,0,0.0
CASA NOVA,2907202,casa-novense,ANISIO VIANA DE CASTRO NETO,9647.072,72086,7.47,75815,95.5,0.57,17.49,257226412.69,245274173.2,11975.02,0,0,0.0
CASTRO ALVES,2907301,castro-alvense,JADSON SOUZA CUNHA SOARES,713.789,24712,34.62,25471,95.9,0.613,23.97,146074559.93,139238783.9,12030.84,0,0,0.0
CATOLANDIA,2907400,catolandiano,GIOVANNI MOREIRA DOS SANTOS,702.504,3434,4.89,3560,98.4,0.582,,29154887.86,26711351.28,22354.47,0,0,0.0
CATU,2907509,catuense,NARLISON BORGES DE SALES,426.955,48148,112.77,50153,97.3,0.677,16.2,230828411.58,216490874.1,12592.64,24,0,4.79
CATURAMA,2907558,caturamense,ANTÔNIO LEÃO BOMFIM,716.261,8841,12.34,9115,98.7,0.571,12.5,43069267.44,44747845.55,8412.58,0,0,0.0
CENTRAL,2907608,centralense,JOSÉ WILKER ALENCAR MACIEL,566.974,16348,28.83,16849,98.9,0.596,16.04,66751208.92,63947582.5,8935.69,0,0,0.0
CHORROCHO,2907707,chorrochoense,UILDE IRLÃ DE OLIVEIRA,3005.319,10579,3.52,10929,96.6,0.6,16,64071992.6,58312016.11,9401.51,0,0,0.0
CICERO DANTAS,2907806,cícero-dantense,VINICIUS JOSE ARAUJO BORGES DE SOUZA,817.023,30907,37.69,32268,98,0.585,24.22,165297492.63,157406567.2,12258.65,0,0,0.0
CIPO,2907905,cipoense,JOSE MARQUES DOS REIS,168.33,17230,102.36,17836,97.6,0.601,33.61,109405618.33,101549023.7,8929.66,0,0,0.0
COARACI,2908002,coaraciense,MILTON DIAS CERQUEIRA MICHELI SANTOS,274.5,17333,63.14,17663,95.1,0.613,5.38,81376233.81,80086134.27,11847.5,0,0,0.0
COCOS,2908101,coquense,CLEWTON DOMINGUES DE SOUZA,10138.25,19151,1.89,19817,97,0.596,20.24,120171828.15,109495229.4,29725.02,0,0,0.0
CONCEICAO DA FEIRA,2908200,conceiçoense,JOÃO PEDRO LABRIOLA CARDOZO,164.798,20800,126.22,21499,98.8,0.634,19.23,104322568.27,97847129.49,16397.98,0,0,0.0
CONCEICAO DO ALMEIDA,2908309,almeidense,RENATA SUELY NOGUEIRA DE SANTANA BARROS,284.836,15794,55.45,16184,95.6,0.606,37.5,77073578.17,68515279.15,11720.12,0,0,0.0
CONCEICAO DO COITE,2908408,coiteense,MARCELO PASSOS DE ARAUJO,1015.251,67825,66.81,71316,97.9,0.611,9.52,244193723.89,225364474.2,13126.28,0,0,0.0
CONCEICAO DO JACUIPE,2908507,conjacuipense,TANIA MARLI RIBEIRO YOSHIDA,114.869,35308,307.38,37409,98.4,0.663,14.01,166544424.18,161132526.9,82100.68,0,0,0.0
CONDE,2908606,condense,JOSÉ ANÍSIO ALMEIDA DE OLIVEIRA,931.106,23654,25.4,24434,96.8,0.56,10.14,118571266.69,106432338.2,11018.15,0,0,0.0
CONDEUBA,2908705,condeubense,MICAEL BATISTA SILVEIRA,1348.039,17053,12.65,17571,98.1,0.582,,79525182.09,72157668.38,9996.28,0,0,0.0
CONTENDAS DO SINCORA,2908804,contendense,UELITON VALDIR PALMEIRA SOUZA,977.455,4333,4.43,4490,99,0.577,,29954585.34,30763908.56,12615.63,0,0,0.0
CORACAO DE MARIA,2908903,mariense,KLEY CARNEIRO LIMA,378.42,26692,70.54,28258,98.8,0.592,17.78,129711375.53,125052585,10109.67,0,0,0.0
CORDEIROS,2909000,cordeirense,DEVANI PEREIRA DA SILVA,523.64,7546,14.41,7763,98,0.579,,42231841.18,43675705.88,8165.47,0,0,0.0
CORIBE,2909109,coribense,MURILLO FERREIRA VIANA,2665.141,13990,5.25,14464,97.7,0.6,6.94,80554552.47,70810452.52,11985.85,0,0,0.0
CORONEL JOAO SA,2909208,joão-saense,CARLOS FERNANDO OLIVA SILVEIRA,797.434,17056,21.39,17593,96,0.535,11.9,122249722.65,118763510.4,11271.2,0,0,0.0
CORRENTINA,2909307,correntinense,WALTER MARIANO MESSIAS DE SOUZA,11504.314,32457,2.82,34179,97.6,0.603,10.62,304616484.88,273171301.4,101729.95,0,0,0.0
COTEGIPE,2909406,cotegipano,BEATRIZ BATISTA RIBEIRO CALADO,4282.775,13063,3.05,13472,94.5,0.59,12.35,66169040,66123234.12,12456.61,0,0,0.0
CRAVOLANDIA,2909505,cravolandense,CELSO COELHO DA SILVA,182.518,4415,24.18,4514,97.6,0.599,65.22,38026746.41,35068132.58,8577.98,0,0,0.0
CRISOPOLIS,2909604,crisopolense,LEANDRO DANTAS DE JESUS COSTA,636.609,19729,30.99,20343,96.1,0.543,16.88,108974463.07,104176240.5,9714.12,0,0,0.0
CRISTOPOLIS,2909703,cristopolense,ERIVALDO CONEGUNDES DA CÂMARA,1052.837,13993,13.29,14514,98.3,0.614,6.62,65694519.37,62068423.14,11289.8,0,0,0.0
CRUZ DAS ALMAS,2909802,cruz-almense,EDNALDO JOSÉ RIBEIRO,139.117,60348,433.79,63203,97.2,0.699,17.02,224844754.88,195763574.4,16307.21,0,0,0.0
CURACA,2909901,curaçaense,ROBSON MURILO BOMFIM DA SILVA,5950.614,34180,5.74,36021,97.4,0.581,13.7,159247575.49,150499774,10130.36,0,0,0.0
DARIO MEIRA,2910008,dário-meirense,MARIVANE DIAS SANTOS,413.637,10820,26.16,11094,93,0.54,,66029944.52,64387748.11,12191.08,0,0,0.0
DIAS D'AVILA,2910057,diasdavilense,ALBERTO PEREIRA CASTRO,183.759,71485,389.01,75053,98,0.676,20.13,355448617.44,326977393.2,36442.65,0,0,0.0
DOM BASILIO,2910107,dom-basiliense,FERNANDO SILVA SANTOS,689.516,11884,17.24,12309,96.1,0.591,,65806890.09,59368599.42,11587.29,0,0,0.0
DOM MACEDO COSTA,2910206,macedense,ANTÔNIO DOS SANTOS FRÓES,94.778,4407,46.5,4588,99.3,0.632,,33028176.48,28943575.59,10611.99,0,0,0.0
ELISIO MEDRADO,2910305,medradense,LINSMAR MOURA BITTENCOURT SANTOS,179.329,7808,43.54,8066,99.6,0.623,,43320892.67,38496097.03,9439.42,0,0,0.0
ENCRUZILHADA,2910404,encruzilhadense,PEDRO ALVES DE LACERDA SOBRINHO,1890.133,19107,10.11,19535,95,0.544,21.37,80558900.34,80099719.7,16098.09,0,0,0.0
ENTRE RIOS,2910503,entrerriense,MANOELITO ARGOLO DOS SANTOS JUNIOR,1187.766,38098,32.08,39902,95.6,0.615,16.81,166559660.28,158731928.1,16224.35,0,0,0.0
ESPLANADA,2910602,esplanadense,JOSE NAUDINHO ALVES DOS SANTOS,1299.355,32554,25.05,34146,97.7,0.589,11.57,162729852.8,158568561.3,19310.56,0,0,0.0
EUCLIDES DA CUNHA,2910701,euclidense,HELDER MACEDO DA SILVA,2025.368,61456,30.34,64547,97.8,0.567,17.4,290966233.82,278488337.8,13015.7,0,0,0.0
EUNAPOLIS,2910727,eunapolitano,JOSÉ ROBÉRIO BATISTA DE OLIVEIRA,1425.97,113710,79.74,120515,96.2,0.677,18.51,479753302.93,472422106.2,27765.39,117,30,9.71
FATIMA,2910750,fatimense,FABIO JOSE REIS DE ARAUJO,368.342,17895,49.11,18469,98.4,0.559,21.05,95934427.54,92484571.22,15735.76,0,0,0.0
FEIRA DA MATA,2910776,matense,VALMIR MACEDO RODRIGUES,1176.504,5631,4.79,5825,97.5,0.588,,36592654.93,33572657.33,11153.59,0,0,0.0
FEIRA DE SANTANA,2910800,feirense,JOSE RONALDO DE CARVALHO,1304.425,616272,472.45,657948,97.4,0.712,14.16,2036599098.73,2026525528,27691.08,922,393,14.01
FILADELFIA,2910859,filadelfense,ANDRÉ LUIZ RIBEIRO MAIA,579.686,17897,30.87,18573,98.4,0.565,20.33,111909295.67,100441783.2,8543.03,0,0,0.0
FIRMINO ALVES,2910909,firmino-alvense,FABIANO DE JESUS SAMPAIO,172.353,4873,28.27,5006,95,0.578,30.3,41376066.66,41055308.47,12562.8,0,0,0.0
FLORESTA AZUL,2911006,floresta-azulense,HERMANIO LEONARDO SANTOS DA SILVA,321.013,11059,34.45,11442,92.8,0.557,14.93,46834895.51,49031200.66,9648.1,0,0,0.0
FORMOSA DO RIO PRETO,2911105,formosense,MANOEL AFONSO DE ARAÚJO,15634.328,25899,1.66,27421,97.3,0.618,14.71,307728848.88,273063696.9,176491.78,0,0,0.0
GANDU,2911204,ganduense,DAIANA SANTOS SANTANA,229.661,32178,140.11,33938,96.8,0.632,19.66,154817857.81,139354505.4,14071.41,0,0,0.0
GAVIAO,2911253,gavionense,LAURINDO NAZÁRIO DA SILVA,384.592,4360,11.34,4493,98.8,0.599,,28763578.48,26532857.4,11301.64,0,0,0.0
